name,latitude,longitude,address,cuisine,opening_time,closing_time
Warung Kerinchi Nasi Campur,3.109943,101.6696696,,,,
Smores,3.1097081,101.6652971,,,,
Edo Ichi,3.1097002,101.6649783,,japanese,,
Si Si Nan Cun,3.1097111,101.6651224,,,,
Hock Kee Kopitiam,3.1097075,101.6656417,,,,
Arigato,3.1097156,101.6652016,,japanese,,
Mr. Bread & Waffel,3.1254663,101.6610998,,,,
Spicy Hub,3.1050234,101.6772944,,,07:00,23:00
Youmiqi Cuisine,3.1127494,101.6782323,,chinese,,
Bunglow37,3.1323292,101.6771004,,,08:30,02:00
Tom Yam Mek,3.1090454,101.6703104,,,,
ATF Tomyam,3.1076813,101.671836,,,,
Kedai Kopi Tai Choong,3.1067069,101.6786604,,chinese,,
Restoran Hijas,3.113579,101.6619871,,,,
Namaste India,3.1100483,101.6637762,,,,
Tok Janggut Seafood,3.1117045,101.6622011,,,,
Dulce Vida,3.1097036,101.6657171,,,,
Restoran Meng Kee,3.1104148,101.6779475,97 Jalan Klang Lama,chinese,11:30,14:30
Ditan Hot Pot,3.1107556,101.6779283,85,hot_pot,,
Salad Atelier,3.1107199,101.6678441,,,,
Devi's Corner,3.1286395,101.6692782,,indian,,
Clover,3.126603,101.6754379,,,,
Veshakhan,3.131926,101.6730979,80 Lorong Maarof,,,
Indian Spices Village,3.1321116,101.673119,86 Lorong Maarof,,,
Agrain,3.1106555,101.667165,,,11:00,15:30
Khao Man Gai,3.1277837,101.6786744,,,,
Nyonya Tingkat,3.127681,101.6785952,,,,
Kedai Makan Dan Minum Sang Wot,3.12257,101.6755157,Jalan Bangsar,,,
Kyuyo,3.1279617,101.6773672,,,,
Nasi Lemak Shop,3.1169835,101.6773639,,malaysian,10:00,21:30
Saru's,3.1288028,101.6797749,25 Jalan Bangsar,,,
Red Kettle,3.1197606,101.6768196,,,10:00,22:00
Nounou,3.1291651,101.6799512,Jalan Bangsar,noodle,,
Southern Rock Seafood,3.1290579,101.6793559,32;34;36 Jalan Kemuja,seafood,,
One Cup Nasi Lemak Shop,3.1289243,101.6792503,40 Jalan Kemuja,,,
Chinta,3.1292855,101.6795371,24 Jalan Kemuja,,,
Since Then,3.1228062,101.6747635,,,,
Ammi's Corner,3.1225654,101.6745765,,,,
Restoran Masala Monarch,3.1283265,101.6783562,,,,
TGI Fridays,3.1161055,101.6766359,"F-072, First Floor Lingkaran Syed Putra",american,,
PASUM Cafe,3.1237764,101.6590521,,,,
Yuzen,3.1006651,101.6762034,,chinese,,
Souled Out,3.1634678,101.6485601,,,,
Subak,3.1716307,101.6212714,,regional,,
Rasta Food court,3.1587811,101.6264583,,regional,,
Puteri Pencala,3.1575763,101.6278882,,regional,,
Nathalie's Gourmet Studio,3.1709054,101.6663892,A4-1-5 Solaris Dutamas,french,,
Abadi Cafeteria 24 Hours,3.1545143,101.622904,,malaysian,,
Uokatsu,3.1629678,101.6566182,,japanese,,
Cavells,3.1622096,101.6492384,,,,
Kin San Kichi,3.1621454,101.6491686,,japanese,,
Nam Heong,3.1626596,101.6496541,,chicken,,
Naughty Babe Dirty Duck,3.1624399,101.6496327,42 Jalan 25/70A,barbecue;burger;pasta;grill,12:00,00:00
Dae Sa Kwan,3.1624453,101.6497534,,,,
Pelita,3.1621239,101.6501128,,,,
The Oriental Food,3.1950637,101.6302112,,chinese,,
Fatt Kee Kepong,3.1947266,101.6305038,,chinese,,
Ful Lai,3.1950878,101.6305089,,chinese,,
Mo Mo Paradise,3.1938853,101.6305116,,,,
Brilliant Noodle House,3.1941415,101.6304946,,,,
Ketam Steamboat Seafood,3.1936538,101.6305063,,,,
Maple Fish Pot,3.1947193,101.6299623,,,,
CEO Burger,3.1945838,101.6299726,,burger,,
I Love YumCha,3.1937138,101.6299415,,chinese,,
Yong Tou Foo Chan Chan,3.1930525,101.630474,67 Jalan 11/62A,chinese,,
I Village Steamboat,3.1933069,101.6304901,,chinese,,
Jom Sedap,3.1934488,101.6302755,,,,
ToKii Sushi,3.1929132,101.6302755,48 Jalan 8/62A,japanese,,
Home Town Steamboat,3.1928034,101.6305169,,,,
Tai Tao (Big Head) Steamboat,3.1927527,101.6313564,,chinese,,
Juro,3.1938961,101.6316569,,,,
Janwa Thai,3.1939666,101.6308747,,thai,,
New High Lite Seafood,3.1951146,101.6308924,,,,
Ah Fatt,3.1943808,101.6320833,,chinese,,
D'Fortune,3.1950985,101.6295674,,,,
Golden Sweet Home,3.1942415,101.6320833,,,,
Ikar,3.1950931,101.6300368,,,,
New Neighbour,3.1936765,101.6320728,,,,
Double One,3.1950262,101.6320646,,,,
Kee Hiong Klang Bak Kut Teh,3.1944745,101.6320887,,chinese,,
Lim's Kitchen,3.1951065,101.6297954,,,,
Heng Kee Delights Bak Kut Teh,3.1951065,101.6296935,,chinese,,
Tanjung Satu,3.1947584,101.6320807,,,,
Homeli Tasti Food,3.1939844,101.6320807,,,,
Theme,3.1940942,101.6320835,,,,
Eden Dim Sum City,3.193888,101.6320753,,chinese,,
Foh Xin Vegetarian,3.1950958,101.6289854,,,,
Family,3.1946031,101.6320914,,,,
Deng Feng Hiong Bakuteh,3.1950985,101.6292,,chinese,,
Gong Yuan Lou,3.1938746,101.628693,,,,
Kiraku Japanese,3.193887,101.6299517,,japanese,,
Shiang Hee,3.1930697,101.6302669,,chinese,,
Porto Romano,3.1722159,101.6531095,,italian;pizza;pasta;dessert;salad,11:00,23:00
Bestari,3.1705338,101.666529,,,,
Ali Maju Cafe,3.1546346,101.6654677,Lorong Dungun,,,
Nasi Lemak Tanglin,3.1503205,101.6533455,57 Jalan Medan Setia 1,,,
Ola! Korea BBQ,3.1749126,101.6602683,,korean,,
Daorae Korean BBQ,3.1742478,101.6596375,,korean,,
Breadfruits,3.1618374,101.6494978,Jalan 26/70A,,,
Decanter,3.1532311,101.649463,Jalan Setiakasih 5,asian,,
Nando's,3.1655891,101.6536422,,chicken;portuguese,,
方圆方素食馆,3.1981288,101.6366559,,chinese,,
رستوران چوچالان,3.1754158,101.6602606,,,,
Medifoods lifestyle cafe,3.1531511,101.6213755,,,,
KGB,3.1527991,101.6207085,,burger;american,10:00,22:30
Chequers,3.1533585,101.6222608,,breakfast,,
123 Corner Restaurant,3.1615419,101.6255938,Jalan Sungai Penchala,seafood;malay;western,6:30,12:15
Al-Bidayah,3.1537833,101.6225463,,indian;malaysian,,
The Social,3.1870451,101.6281826,,western,,
Onde,3.1869875,101.6281414,,malaysian,,
Café Deli by El Mesón,3.1868716,101.6280564,,,,
Nando's,3.1867268,101.6277127,Persiaran Residen,chicken;portuguese,,
Dragon-i,3.1867057,101.6277943,Persiaran Residen,chinese,,
Xi Gong Seafood Restaurant,3.1952234,101.6445684,19-23 Jalan Helang Sewah,chinese,,
San Francisco Coffee,3.171204,101.6668823,,,,
The Barn,3.1871316,101.6283221,,,,
The Beato,3.1716256,101.6654313,,steak_house,,
Marta's Kitchen,3.1644765,101.6522478,,tapas;paella;spanish;sandwich;pasta;dessert,11:30,23:30
The Majapahit,3.1679744,101.6525103,,indian,12:00,01:00
The Social,3.1711935,101.6670276,,,,
Ben's,3.1709551,101.6668065,,,,
Two Sons,3.1706619,101.6670177,,bistro,,
Healy Mac's,3.1706766,101.666936,,,,
Mubeen,3.150326,101.6535711,61;63 Jalan Medan Setia 1,middle_eastern,,
Nasi Kandar Imthiyaz,3.1502504,101.6539101,Jalan Medan Setia 1,,,
Char Line Asado + Bar,3.1501488,101.6527094,43 Jalan Medan Setia 1,barbecue;argentinian,,
Satay Station,3.1743003,101.653667,,malay,,
Epic Fit Meals,3.1743329,101.6532123,,,,
Casa Rosa Restaurant,3.1665066,101.6549022,Jalan Kiara 1,pizza;burger;italian;seafood;french;german;european;pasta;steak_house,12:00,14:15
Sukiya,3.1652299,101.6533055,1st floor Jalan Kiara 1,Sukiyaki,,
Chica Bonita - Publika,3.1711767,101.6672259,"Lot 34, Level G2, Block C5 Publika, Solaris Dutamas",mexican;tex-mex;brunch,10:00,00:00
Restoran Anis Putri,3.1598325,101.6210718,,,,
Padang Kota Bistro,3.1757487,101.6598051,22 Jalan Solaris 4,nasi_kandar,,
Lisette's Café & Bakery,3.1667854,101.6523522,Lot GF-18 Jalan Kiara,coffee_shop_restaurant,8:30,22:00
Restoran OK,3.1536096,101.6230569,Jalan Aminuddin Baki,chinese,,
SS Wanton Noodle,3.1889874,101.6516342,39 Jalan 15/38D,coffee_shop;noodle;chinese;wan_tan_mee,08:00,16:30
Bestari,3.1748783,101.6591222,,,,
Mozer's,3.1644298,101.657215,,syrian,11:00,21:30
Mr. Lim,3.1612352,101.6500945,,korean,,
Kyomo,3.1628126,101.6507478,,yakiniku,,
Rakuzen,3.1713254,101.6646626,,japanese,11:30,15:00
Cili Kampung,3.1634539,101.6562291,,malaysian,12:00,15:30
FoodHall by Kreate,3.1887995,101.6378686,2 Jalan Intisari,regional;burger;italian;chinese;sandwich;asian;korean,08:00,18:00
Sushi Zanmai,3.1653993,101.6535938,,sushi,,
Pizza Hut,3.1848004,101.6460872,,pizza,,
Restoran Sri Segambut,3.1975693,101.6571931,,chinese,,
Sushi & Spice,3.1682755,101.6487521,,sushi,,
Ju Ga & Cook,3.1644184,101.6564263,,korean,10:30,15:00
Uo-sho,3.1637177,101.65735,,japanese,12:00,14:30
Jerry G’s,3.1624594,101.6561386,,,12:00,24:00
Yellow Brick Road,3.1516736,101.6655428,,,,
DV,3.1555489,101.6559683,77 Jalan Setia Bakti,italian,,
La Bodega,3.1552572,101.6561015,,,,
Ahh-Yum,3.1554086,101.6560327,,,,
Nourish,3.1518536,101.6654616,,,,
The Regent Chinese Cuisine,3.1655228,101.6519361,,chinese,12:00,14:30
Nyonya Box,3.1676143,101.6510099,,,08:00,18:00
Pit Stop,3.1868166,101.6696044,,,,
The Ganga Cafe @ Mont Kiara,3.1654902,101.6508759,,indian,09:00,21:00
Jin Jin Soo Ra,3.1658433,101.6514981,,korean,11:00,15:00
Jay Aloki Bhavan,3.1865938,101.6696919,,indian,,
Sticks N Maki,3.1528861,101.6223562,,japanese,,
Leen's,3.1531117,101.6229826,136A Jalan Burhanuddin Helmi,syrian,18:00,23:00
Meat Point,3.152203,101.620421,,steak_house,,
Temerloh Catering Signature,3.1524256,101.621063,,,,
Jasima,3.1527053,101.6218416,,indian;malaysian,,
Cinq Dining,3.1523573,101.6224876,,,18:00,24:00
Aposto,3.1555777,101.6229824,No. 83 Lorong Rahim Kajai 14,italian,18:00,22:00
La Juiceria Superfoods @Verve Suites Mont Kiara,3.1673307,101.646708,,,08:00,22:00
Enoshima,3.1672681,101.6466969,,japanese,,
Fat Olive,3.1673989,101.6467115,,,,
B-Lab1,3.1674888,101.6467207,,,,
La Casa,3.1675681,101.6467326,,spanish,,
Warung Atuk,3.1602576,101.6241872,,malaysian,,
Calisto,3.1607745,101.6216178,,steak_house;malaysian,11:00,23:00
Kanbe Yakiniku,3.1666978,101.652811,,japanese,17:00,24:00
Dai Pai Dong Seafood Restaurant,3.1939527,101.6300446,,chinese;seafood,,
Restoran Warung King,3.1934618,101.6294078,,malaysian;thai,,
Lala King,3.1934585,101.6290642,,seafood,,
Q House,3.1940569,101.6300503,,chinese,,
Jujube Vegetarian House,3.1934532,101.6292116,,,,
Restoran AK Maju,3.1936515,101.6300333,,malaysian;indian,,
Yosen Japanese Shabu Shabu,3.194712,101.6301178,,japanese,,
Ikan Bakar Banjir,3.1983977,101.6691669,,malaysian,11:00,16:30
Firdouse,3.196751,101.6688098,,indian,08:00,23:00
Kumar's,3.1723144,101.6543164,,indian,,
Plates & Palates,3.1812476,101.6645251,,,,
Mano,3.1508644,101.6643969,,mexican;latin_american,17:30,23:00
Kazu,3.1518639,101.6644711,,sushi,,
Raahi Kitchen & Bar,3.1685518,101.6451353,LG2 Amarin Kiara Jalan Desa Kiara 1,bar_and_grill,,
Tiny Food Cafe (Plant-based Goodness),3.1647327,101.65745,,,,
Herbs,3.1723328,101.6550156,Jalan Kiara 2,spanish;french;italian,,
Nasi Lemak Burung Hantu,3.1545316,101.6226358,19 Lorong Rahim Kajai 13,nasi_lemak,,
Rock Salt,3.1640926,101.6565497,,steak_house;italian;dessert,12:00,16:00
Monnalisa,3.1640544,101.6570886,,italian,16:30,22:30
Street Food of Mexico @ Flavors of Mexico,3.1640771,101.6566909,,mexican,12:00,15:00
Safa,3.1644592,101.6561242,,arab,11:00,22:00
Grand Imperial,3.1634305,101.6560186,,chinese,,
Royal Bedouin,3.1633615,101.6556071,,arab;mediterranean,11:30,02:00
Hamza,3.1574055,101.6501616,,indian,,
Napa,3.157686,101.6499082,,thai,12:00,15:00
Wedding biryani,3.1573617,101.6502031,,,10:00,22:00
The Butcher’s Table @ Sri Hartamas,3.157321,101.6502366,11 Jalan Sri Hartamas 7,western,11:00,15:00
Aunty Nat,3.1572332,101.6503131,,peranakan,11:00,15:00
Gold Standard Pho,3.157197,101.650344,,vietnamese,11:00,24:00
Chef Diary,3.157157,101.6503798,,,,
Bistro Léa,3.1571442,101.6504929,,french,09:00,23:00
Ploy,3.1525547,101.6666279,,asian,12:00,15:00
Fin,3.1715799,101.6660728,,salad;wrap,09:30,20:00
Nasi Kandar Deen Bistro,3.1631582,101.6482819,,,,
HAHA Buffet Steamboat BBQ,3.1628111,101.6485899,,,,
Nasi Lemak Double D,3.1885325,101.6532412,17 Jalan 5/38D,malaysian;asian;noodle;western;korean;chicken,12:00,22:00
Sol,3.1811005,101.6646145,,spanish,12:00,02:00
Onde,3.1869875,101.6281414,,malaysian,,
Café Deli by El Mesón,3.1868716,101.6280564,,,,
Nando's,3.1867268,101.6277127,Persiaran Residen,chicken;portuguese,,
Dragon-i,3.1867057,101.6277943,Persiaran Residen,chinese,,
The Barn,3.1871316,101.6283221,,,,
The Social,3.1870451,101.6281826,,western,,
Thong Bowl,3.1711733,101.667339,,,,
Faaz Maju,3.1972196,101.6656521,,,08:00,20:00
Asna Maju,3.1946037,101.6655227,,indian,,
Pizza Hut,3.1658553,101.6521925,,pizza,,
Warung Soho,3.1640358,101.6559548,,,,
Jin Xuan Hong Kong (Sri Hartamas) Sdn. Bhd.,3.1617932,101.6497687,,chinese;dim_sum,,
Nasi padang prima sari ratu,3.1645918,101.6575145,,,,
Zhang la la,3.164412,101.6577331,,,,
Mallar Bistro,3.1621496,101.6485258,,indian,,
The Roomah,3.1709438,101.6674833,Jalan Dutamas 1,malaysian,11:00,22:00
SCC STEAMBOAT 哈尔滨大厨,3.1943104,101.629648,1 Jalan Menjalara Idaman,chinese,,
Restoran Lim Sisters,3.1885164,101.6413697,,chinese,,
Nasi Lemak Burung Hantu,3.1631813,101.6522388,,malaysian,,
Asian Tavern,3.1684985,101.6462844,,chinese,,
Mustardfields by Zukkini,3.1683017,101.646219,,fusion,09:00,22:00
Bacio,3.1683496,101.6463467,,italian,,
Bunny Tong Seui,3.1936812,101.6312225,,chinese;malaysian;dessert,,
The Industry,3.1513867,101.664648,,,,
Kebun Tok Yad,3.1753536,101.6329999,,,,
Super Kitchen Chilli Pan Mee @ 1 Mont Kiara,3.1658311,101.6534793,,chinese,10:00,21:30
Annie Day Coffeetiam,3.1869573,101.6272792,,asian,,
Bistro Eat'z,3.1629908,101.6570239,,,12:00,17:00
Leo's,3.1603929,101.6265263,,,,
Tai Wong TTDI,3.1603343,101.626532,,,,
Taste Of Thai,3.190682,101.6542634,G-22,thai,,
Saikong Kitchen,3.1906677,101.6541111,G-23A,chinese,,
Mixed Rice,3.1927363,101.62569,33;35 Jalan Medan Putra 1,,,
Restoran Roasted Rice & Noodle,3.1928947,101.6256883,29 Jalan Medan Putra 1,,,
Aji Corner,3.1933707,101.6256763,15 Jalan Medan Putra 1,,,
Amigos,3.1937705,101.6256814,1 Jalan Medan Putra 1,,,
Positano Risto,3.1716851,101.6645775,"2 Jln Dutamas 1, Solaris Dutamas",coffee_shop;italian;pasta;seafood,11:00,21:30
En Yeoh’s Bak Kut Teh,3.175517,101.6593413,7 Jalan Solaris 4,chinese,,
Hott Chickk,3.1541738,101.6229237,,chicken,,
Nasi Lemak Burung Hantu,3.1557722,101.6229604,,malaysian,,
Geunyang Gogi Korean BBQ,3.1552986,101.6229576,,korean;barbecue,,
Ipoh Onn Kee Taugeh Ayam,3.1636715,101.6491132,,,,
DUO 双宴 - OUG Seafood Pork Noodle,3.1630301,101.6490248,,,,
All Delicious Restaurant,3.1625652,101.6488295,,,,
Restoran Choong Kok Hong,3.1631201,101.6489368,,,,
Kayu Nasi Kandar,3.09889,101.7121728,,,,
Hanizah Nasi Kandar,3.1126912,101.7160969,,,,
Azzahra,3.1122198,101.7152439,,,,
Kedai kek Cheras,3.1126965,101.7154746,,,,
Yati Jaya,3.1122653,101.7164214,,,,
PappaRich,3.0988814,101.7124869,,malaysian,,
新77,3.1004967,101.7127927,,chinese,,
Golden,3.0575134,101.749449,,,,
Hong Lim Pan Mee,3.0579421,101.7481373,,,,
福建面和涮盘子,3.0579447,101.7480702,,,,
Restoran BRJ Alam Damai,3.0621343,101.7440272,,regional,,
Oldtown Kopitiam The Peak,3.066383,101.7500075,,,,
ABC Food's Corner,3.0545953,101.7508686,,,,
Meng Tuck Vegetarian,3.1182491,101.75981,,regional,,
Hong Kee Dim Sum,3.0575216,101.7472113,,chinese,,
Kar Heong,3.0826662,101.7372238,28 Jalan Waras 1,chinese,,
JC Deli Eatery,3.0582907,101.7484836,21 Jalan 33/154,malaysian,10:00,22:00
Machi Noodle 妈子面,3.0578563,101.7469989,,chinese,,
Sun Ming Kee Restaurant,3.0822975,101.7373992,137 Jalan Sarjana,chinese,,
D'Arab Station,3.0628784,101.7440746,,arab,,
Dapur Ayam Penyet,3.0618356,101.7440436,,asian,,
Ling Long Fishball Shop,3.0626439,101.757729,,chinese,08:00,15:00
